SKU,ProductName,Category,Subcategory,Brand,StandardCost,StandardPrice,LaunchDate,DiscontinuationDate,Status,PreferredSupplier,UnitOfMeasure
PRD-0001,BluePeak Carbonated Drinks Plus,Beverages,Carbonated Drinks,BluePeak,0.99,1.48,2022-09-04,,Active,EastBridge Imports,Each
PRD-0002,PureChoice Carbonated Drinks Plus,Beverages,Carbonated Drinks,PureChoice,1.8,2.15,2019-02-22,,Active,BlueStar Trading,Each
PRD-0003,EverGreen Carbonated Drinks Deluxe,Beverages,Carbonated Drinks,EverGreen,1.17,1.67,2020-07-31,,Active,Meridian Logistics,Each
PRD-0004,PureChoice Carbonated Drinks Classic,Beverages,Carbonated Drinks,PureChoice,0.96,1.17,2020-04-13,,Active,Solaris Trading Co.,Case/12
PRD-0005,UrbanHarvest Carbonated Drinks Classic,Beverages,Carbonated Drinks,UrbanHarvest,1.44,2.03,2023-03-26,,Active,Solaris Trading Co.,Case/24
PRD-0006,SunRise Carbonated Drinks Deluxe,Beverages,Carbonated Drinks,SunRise,1.92,2.89,2022-11-21,,Active,EastBridge Imports,Each
PRD-0007,ValuBrand Carbonated Drinks Premium,Beverages,Carbonated Drinks,ValuBrand,1.43,1.81,2024-02-16,,Active,OmniSource Global,Case/12
PRD-0008,QuickServe Carbonated Drinks Deluxe,Beverages,Carbonated Drinks,QuickServe,2.04,2.55,2019-07-02,,Active,Harvest Fields LLC,Case/12
PRD-0009,CoastalSelect Carbonated Drinks Deluxe,Beverages,Carbonated Drinks,CoastalSelect,2.11,2.54,2021-06-04,,Active,Delta Procurement,Each
PRD-0010,NaturePath Carbonated Drinks Plus,Beverages,Carbonated Drinks,NaturePath,1.91,2.57,2019-03-04,,Active,Sterling Wholesale,Case/24
PRD-0011,ElitePro Carbonated Drinks Pro,Beverages,Carbonated Drinks,ElitePro,2.07,2.82,2025-02-01,,New Launch,TrueNorth Exports,Case/24
PRD-0012,PureChoice Carbonated Drinks Lite,Beverages,Carbonated Drinks,PureChoice,2.08,3.21,2021-11-26,,Active,Redwood Suppliers,Each
PRD-0013,EverGreen Juices Plus,Beverages,Juices,EverGreen,2.75,3.79,2019-02-25,,Active,Apex Distribution,Case/12
PRD-0014,OptimaFood Juices Select,Beverages,Juices,OptimaFood,1.89,2.74,2020-02-22,,Active,Cascade Natural Foods,Each
PRD-0015,QuickServe Juices Premium,Beverages,Juices,QuickServe,3.18,4.43,2022-09-26,,Active,Redwood Suppliers,Each
PRD-0016,FreshFirst Juices Deluxe,Beverages,Juices,FreshFirst,3.18,4.47,2022-02-17,,Active,NexGen Wholesale,Case/24
PRD-0017,UrbanHarvest Juices Pro,Beverages,Juices,UrbanHarvest,3.76,5.71,2020-04-07,2026-02-16,Discontinued,PrimePack Industries,Each
