po_id,orderdate,suppliername,suppliercountry,warehouseid,sku,productname,orderedqty,unitcost,expecteddeliverydate,actualdeliverydate,receivingstore,postatus,receivedqty,deliveryperformance,potype
PO-000001,2024-10-17,EastBridge Imports,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,33,1.0192,2024-11-11,,Boston Flagship,Received,33,Late,Regular
PO-000002,2025-03-03,EastBridge Imports,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,36,1.0322,2025-03-28,2025-03-28,Boston Flagship,Received,36,OnTime,Regular
PO-000003,2025-04-03,EASTBRIDGE IMPORTS,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,31,1.0201,2025-04-28,2025-05-07,Boston Flagship,Received,31,Late,Regular
PO-000004,2025-06-01,EastBridge Imports,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,31,0.9983,2025-06-26,2025-06-28,Boston Flagship,Partial,21,Late,Regular
PO-000005,2025-06-23,EastBridge Imports,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,31,1.0358,2025-07-18,2025-08-05,Boston Flagship,Partial,27,Late,Regular
PO-000006,2025-08-09,EastBridge Imports,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,35,1.0117,2025-09-03,2025-09-09,Boston Flagship,Received,35,Late,Regular
PO-000007,2025-09-10,EASTBRIDGE IMPORTS,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,60,1.0196,2025-10-05,2025-10-05,Boston Flagship,Received,60,OnTime,Regular
PO-000008,2025-11-20,EastBridge Imports,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,32,1.0365,2025-12-15,2025-12-15,Boston Flagship,Received,32,OnTime,Regular
PO-000009,2026-01-26,EastBridge Imports,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,39,1.0246,2026-02-20,2026-02-20,Boston Flagship,Received,39,OnTime,Regular
PO-000010,2026-04-11,eastbridge imports,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,32,1.0567,2026-05-06,2026-05-06,Boston Flagship,Received,32,OnTime,Regular
PO-000011,2026-05-31,EastBridge Imports,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,39,1.0381,2026-06-25,2026-06-25,Boston Flagship,Received,39,OnTime,Regular
PO-000012,2026-07-11,EASTBRIDGE IMPORTS,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,37,1.0452,2026-08-05,2026-08-10,Boston Flagship,Received,37,Late,Regular
PO-000013,2026-08-20,EastBridge Imports,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,33,1.0405,2026-09-14,2026-09-14,Boston Flagship,Received,33,OnTime,Regular
PO-000014,2026-10-16,EastBridge Imports,China,WH-001,PRD-0001,BluePeak Carbonated Drinks Plus,33,1.0706,2026-11-10,2026-11-23,Boston Flagship,Received,33,Late,Regular
PO-000015,2024-10-26,BlueStar Trading,China,WH-001,PRD-0002,PureChoice Carbonated Drinks Plus,37,1.8383,2024-11-16,2024-11-24,Boston Flagship,Received,37,Late,Regular
