logisticsid,po_id,carrier,shipmentmode,freightcost,expecteddelivery,actualdelivery,shipmentstatus,origincountry,destinationstore
LOG-000001,PO-000001,UPS Supply Chain,Truck,3.61,2024-11-11,2024-11-21,Delivered,China,Boston Flagship
LOG-000002,PO-000002,Ryder,Rail,3.14,2025-03-28,2025-03-28,Delivered,China,Boston Flagship
LOG-000003,PO-000003,J.B. Hunt,Rail,1.98,2025-04-28,2025-05-07,Delivered,China,Boston Flagship
LOG-000004,PO-000004,Ryder,Truck,3.26,2025-06-26,2025-06-28,Delivered,China,Boston Flagship
LOG-000005,PO-000005,Echo Global,Truck,2.93,2025-07-18,2025-08-05,Delivered,China,Boston Flagship
LOG-000006,PO-000006,FedEx Freight,Truck,3.76,2025-09-03,2025-09-09,Delivered,China,Boston Flagship
LOG-000007,PO-000007,XPO Logistics,Truck,4.38,2025-10-05,2025-10-05,Delivered,China,Boston Flagship
LOG-000008,PO-000008,UPS Supply Chain,Truck,1.75,2025-12-15,2025-12-15,Delivered,China,Boston Flagship
LOG-000009,PO-000009,FedEx Freight,Truck,1.79,2026-02-20,2026-02-20,Delivered,China,Boston Flagship
LOG-000010,PO-000010,XPO Logistics,Rail,3.17,2026-05-06,2026-05-06,Delivered,China,Boston Flagship
LOG-000011,PO-000011,FedEx Freight,Truck,2.81,2026-06-25,2026-06-25,Delivered,China,Boston Flagship
LOG-000012,PO-000012,UPS Supply Chain,Truck,1.47,2026-08-05,2026-08-10,Delivered,China,Boston Flagship
LOG-000013,PO-000013,XPO Logistics,Air,3.02,2026-09-14,2026-09-14,Delivered,China,Boston Flagship
LOG-000014,PO-000014,UPS Supply Chain,Truck,2.61,2026-11-10,2026-11-23,Delivered,China,Boston Flagship
LOG-000015,PO-000015,Ryder,Truck,4.27,2024-11-16,2024-11-24,Delivered,China,Boston Flagship
LOG-000016,PO-000016,Echo Global,Truck,2.97,2025-01-13,2025-01-12,Delivered,China,Boston Flagship
LOG-000017,PO-000017,J.B. Hunt,Sea,5.24,2025-02-26,2025-02-26,Delivered,China,Boston Flagship
LOG-000018,PO-000018,FedEx Freight,Truck,3.96,2025-06-07,2025-06-06,Delivered,China,Boston Flagship
LOG-000019,PO-000019,Echo Global,Rail,4.63,2025-07-12,2025-07-12,Delivered,China,Boston Flagship
LOG-000020,PO-000020,XPO Logistics,Rail,3.56,2025-08-13,2025-08-11,Delivered,China,Boston Flagship
LOG-000021,PO-000021,J.B. Hunt,Truck,3.54,2025-10-25,2025-10-25,Delivered,China,Boston Flagship
LOG-000022,PO-000022,XPO Logistics,Truck,4.81,2026-03-15,2026-03-17,Delivered,China,Boston Flagship
LOG-000023,PO-000023,Ryder,Truck,6.42,2026-06-06,2026-06-06,Delivered,China,Boston Flagship
LOG-000024,PO-000024,Echo Global,Truck,6.1,2026-08-13,2026-08-13,Delivered,China,Boston Flagship
LOG-000025,PO-000025,J.B. Hunt,Truck,4.42,2026-10-14,2026-10-20,Delivered,China,Boston Flagship
LOG-000026,PO-000026,Echo Global,Rail,4.5,2026-11-13,2026-11-13,Delivered,China,Boston Flagship
LOG-000027,PO-000027,Ryder,Rail,4.78,2024-11-26,2024-11-26,Delivered,Mexico,Boston Flagship
LOG-000028,PO-000028,Echo Global,Air,4.35,2025-02-02,2025-02-04,Delivered,Mexico,Boston Flagship
LOG-000029,PO-000029,FedEx Freight,Rail,1.78,2025-03-31,2025-03-31,Delivered,Mexico,Boston Flagship
LOG-000030,PO-000030,J.B. Hunt,Truck,2.45,2025-06-05,2025-06-09,Delivered,Mexico,Boston Flagship
LOG-000031,PO-000031,UPS Supply Chain,Truck,1.66,2025-07-09,2025-07-09,Delivered,Mexico,Boston Flagship
LOG-000032,PO-000032,Ryder,Truck,2.69,2025-09-25,2025-09-25,Delivered,Mexico,Boston Flagship
LOG-000033,PO-000033,J.B. Hunt,Truck,3.07,2025-10-10,2025-10-13,Delivered,Mexico,Boston Flagship
LOG-000034,PO-000034,Echo Global,Sea,2.6,2025-12-15,2025-12-20,Delivered,Mexico,Boston Flagship
LOG-000035,PO-000035,Ryder,Rail,1.93,2026-01-13,2026-01-13,Delivered,Mexico,Boston Flagship
LOG-000036,PO-000036,Echo Global,Truck,1.13,2026-02-19,2026-02-19,Delivered,Mexico,Boston Flagship
LOG-000037,PO-000037,J.B. Hunt,Truck,1.16,2026-03-20,2026-03-20,Delivered,Mexico,Boston Flagship
LOG-000038,PO-000038,Ryder,Truck,0.96,2026-04-24,2026-04-24,Delivered,Mexico,Boston Flagship
LOG-000039,PO-000039,FedEx Freight,Air,2.27,2026-08-06,2026-08-09,Delivered,Mexico,Boston Flagship
LOG-000040,PO-000040,UPS Supply Chain,Rail,2.09,2026-11-30,2026-11-30,Delivered,Mexico,Boston Flagship
LOG-000041,PO-000041,XPO Logistics,Truck,0.99,2025-01-16,2025-01-16,Delivered,UAE,Boston Flagship
LOG-000042,PO-000042,UPS Supply Chain,Rail,0.93,2025-03-30,2025-03-30,Delivered,UAE,Boston Flagship
LOG-000043,PO-000043,FedEx Freight,Truck,2.12,2025-05-23,2025-05-21,Delivered,UAE,Boston Flagship
LOG-000044,PO-000044,UPS Supply Chain,Rail,2.86,2025-11-04,2025-11-04,Delivered,UAE,Boston Flagship
LOG-000045,PO-000045,J.B. Hunt,Truck,2.14,2026-03-31,2026-04-07,Delivered,UAE,Boston Flagship
LOG-000046,PO-000046,J.B. Hunt,Air,1.59,2026-05-05,2026-05-16,Delivered,UAE,Boston Flagship
LOG-000047,PO-000047,XPO Logistics,Truck,1.74,2026-06-17,2026-06-29,Delivered,UAE,Boston Flagship
LOG-000048,PO-000048,Echo Global,Air,1.86,2026-08-07,2026-08-07,Delivered,UAE,Boston Flagship
LOG-000049,PO-000049,FedEx Freight,Rail,3.71,2025-01-10,2025-01-10,Delivered,UAE,Boston Flagship
LOG-000050,PO-000050,XPO Logistics,Sea,3.69,2025-04-19,2025-05-02,Delivered,UAE,Boston Flagship
LOG-000051,PO-000051,Ryder,Rail,2.31,2025-08-28,2025-08-28,Delivered,UAE,Boston Flagship
LOG-000052,PO-000052,Ryder,Sea,2.6,2025-11-07,2025-11-07,Delivered,UAE,Boston Flagship
LOG-000053,PO-000053,UPS Supply Chain,Sea,3.08,2026-01-07,2026-01-10,Delivered,UAE,Boston Flagship
LOG-000054,PO-000054,Echo Global,Air,1.21,2026-04-05,2026-04-16,Delivered,UAE,Boston Flagship
LOG-000055,PO-000055,UPS Supply Chain,Sea,3.31,2026-06-05,2026-06-05,Delivered,UAE,Boston Flagship
