ReturnID,ReturnDate,InvoiceID,StoreName,SKU,ProductName,Category,ReturnedQty,ReturnReason,RefundAmount
RET-000001,2025-05-03,INV-0021829,Chicago Flagship,PRD-0161,PureChoice Cleaning Products Pro,Household,1,Damaged,6.86
RET-000002,2026-12-24,INV-0055322,Phoenix Compact,PRD-0058,EverGreen Cookies & Bars Original 500g,Snacks,2,Expired,5.53
RET-000003,2026-12-13,INV-0016802,Chicago Flagship,PRD-0049,GoldCrest Nuts & Seeds Deluxe 750g,Snacks,2,Expired,12.67
RET-000004,2025-06-23,INV-0012383,Atlanta Flagship,PRD-0106,NaturePath Pasta & Grains Value 750g,Grocery,3,Customer Return,11.17
RET-000005,2026-07-10,INV-0041179,Charlotte Standard,PRD-0120,HomeComfort Frozen Vegetables Classic,Frozen Foods,1,Damaged,5.53
RET-000006,2026-11-07,INV-0052884,Tampa Compact,PRD-0127,SunRise Frozen Vegetables Deluxe,Frozen Foods,1,Customer Return,3.38
RET-000007,2026-05-14,INV-0075471,Detroit Compact,PRD-0139,FreshFirst Vitamins Original,Health & Beauty,1,Customer Return,7.36
RET-000008,2025-09-12,INV-0021614,Chicago Flagship,PRD-0157,EverGreen Cleaning Products Lite,Household,3,Expired,23.2
RET-000009,2025-12-05,INV-0068000,Nashville Compact,PRD-0033,NaturePath Energy Drinks Plus,Beverages,2,Damaged,6.42
RET-000010,2026-10-30,INV-0072388,Salt Lake City Express,PRD-0116,CoastalSelect Frozen Meals Select,Frozen Foods,4,Customer Return,46.89
RET-000011,2026-12-31,INV-0033243,Philadelphia Standard,PRD-0113,SunRise Frozen Meals Plus,Frozen Foods,5,Expired,59.31
RET-000012,2026-11-26,INV-0006374,Boston Flagship,PRD-0136,FreshFirst Vitamins Plus,Health & Beauty,5,Quality Issue,49.15
RET-000013,2025-07-13,INV-0033959,Philadelphia Standard,PRD-0125,CoastalSelect Frozen Vegetables Premium,Frozen Foods,7,Incorrect Shipment,50.55
RET-000014,2025-11-28,INV-0015975,Chicago Flagship,PRD-0030,BluePeak Water & Sparkling Plus,Beverages,1,Quality Issue,2.03
RET-000015,2025-10-03,INV-0020111,Chicago Flagship,PRD-0121,CoastalSelect Frozen Vegetables Value,Frozen Foods,6,Damaged,30.93
RET-000016,2026-07-05,INV-0033820,Philadelphia Standard,PRD-0121,CoastalSelect Frozen Vegetables Value,Frozen Foods,1,Incorrect Shipment,5.26
RET-000017,2025-12-26,INV-0009633,Atlanta Flagship,PRD-0039,UrbanHarvest Chips & Crisps Plus 1000g,Snacks,2,Quality Issue,8.45
RET-000018,2025-12-16,INV-0067722,Nashville Compact,PRD-0025,ElitePro Water & Sparkling Plus,Beverages,3,Incorrect Shipment,4.92
RET-000019,2025-07-21,INV-0027218,Denver Standard,PRD-0147,SunRise Personal Care Value,Health & Beauty,2,Customer Return,29.69
RET-000020,2026-06-08,INV-0064400,Indianapolis Standard,PRD-0062,PureChoice Cookies & Bars Deluxe 300g,Snacks,1,Quality Issue,2.81
RET-000021,2025-04-05,INV-0008571,Atlanta Flagship,PRD-0015,QuickServe Juices Premium,Beverages,1,Quality Issue,4.16
RET-000022,2025-07-06,INV-0021930,Chicago Flagship,PRD-0163,SunRise Paper Products Premium,Household,3,Expired,22.9
RET-000023,2026-12-31,INV-0055033,Phoenix Compact,PRD-0046,ElitePro Chips & Crisps Deluxe 250g,Snacks,4,Customer Return,4.97
RET-000024,2025-09-09,INV-0061210,Providence Express,PRD-0114,UrbanHarvest Frozen Meals Select,Frozen Foods,15,Customer Return,206.59
RET-000025,2025-02-24,INV-0035046,Philadelphia Standard,PRD 0149,QuickServe OTC Medicine Premium,Health & Beauty,9,Customer Return,136.49
RET-000026,2025-06-30,INV-0017440,Chicago Flagship,PRD-0067,EverGreen Cheese Classic,Dairy,2,Customer Return,26.64
RET-000027,2025-12-23,INV-0006220,Boston Flagship,PRD-0132,ClearSpring Ice Cream Classic,Frozen Foods,5,Expired,41.66
RET-000028,2025-11-29,INV-0038250,Charlotte Standard,PRD-0053,UrbanHarvest Nuts & Seeds Original 400g,Snacks,2,Customer Return,20.32
RET-000029,2026-03-27,INV-0044115,Columbus Standard,PRD-0035,ElitePro Energy Drinks Select,Beverages,1,Quality Issue,2.23
RET-000030,2026-09-09,INV-0067729,Nashville Compact,PRD-0025,ElitePro Water & Sparkling Plus,Beverages,3,Incorrect Shipment,5.49
RET-000031,2025-05-17,INV-0023698,Denver Standard,PRD-0046,ElitePro Chips & Crisps Deluxe 250g,Snacks,1,Customer Return,1.21
RET-000032,2025-05-07,INV-0002060,Boston Flagship,PRD-0040,UrbanHarvest Chips & Crisps Premium 1000g,Snacks,8,Customer Return,37.05
RET-000033,2025-12-11,INV-0026659,Denver Standard,PRD-0132,ClearSpring Ice Cream Classic,Frozen Foods,3,Damaged,23.13
RET-000034,2026-09-13,INV-0077740,Raleigh Standard,PRD-0156,NaturePath Cleaning Products Lite,Household,3,Customer Return,30.74
RET-000035,2026-09-28,INV-0070743,Salt Lake City Express,PRD-0007,ValuBrand Carbonated Drinks Premium,Beverages,1,Customer Return,1.71
RET-000036,2026-12-01,INV-0079690,Milwaukee Compact,PRD-0016,FreshFirst Juices Deluxe,Beverages,2,Expired,8.0
RET-000037,2026-11-18,INV-0050106,Tampa Compact,PRD-0035,ElitePro Energy Drinks Select,Beverages,1,Incorrect Shipment,2.12
RET-000038,2024-12-29,INV-0026969,Denver Standard,PRD-0140,PureChoice Vitamins Classic,Health & Beauty,4,Quality Issue,85.67
RET-000039,2026-05-16,INV-0053978,Phoenix Compact,PRD-0004,PureChoice Carbonated Drinks Classic,Beverages,4,Quality Issue,4.23
RET-000040,2024-10-30,INV-0018618,Chicago Flagship,PRD-0091,EverGreen Canned Goods Lite 200g,Grocery,3,Incorrect Shipment,8.07
RET-000041,2025-12-04,INV-0047966,Columbus Standard,PRD-0139,FreshFirst Vitamins Original,Health & Beauty,2,Customer Return,14.05
RET-000042,2025-05-13,INV-0055207,Phoenix Compact,PRD-0054,QuickServe Nuts & Seeds Deluxe 500g,Snacks,2,Customer Return,10.67
RET-000043,2025-02-02,INV-0047408,Columbus Standard,PRD-0124,SunRise Frozen Vegetables Value,Frozen Foods,3,Quality Issue,19.5
RET-000044,2026-05-21,INV-0066168,Indianapolis Standard,PRD-0126,QuickServe Frozen Vegetables Deluxe,Frozen Foods,2,Customer Return,7.42
RET-000045,2026-07-06,INV-0067771,Nashville Compact,PRD-0027,ValuBrand Water & Sparkling Plus,Beverages,6,,10.17
RET-000046,2026-06-13,INV-0065061,Indianapolis Standard,PRD-0088,UrbanHarvest Canned Goods Original 500g,Grocery,1,Customer Return,2.31
RET-000047,2025-12-01,INV-0061287,Providence Express,PRD-0115,ClearSpring Frozen Meals Lite,Frozen Foods,2,Incorrect Shipment,28.77
RET-000048,2026-12-02,INV-0063377,Indianapolis Standard,PRD-0022,ElitePro Juices Lite,Beverages,2,Expired,6.95
RET-000049,2026-01-19,INV-0056978,Phoenix Compact,PRD-0132,ClearSpring Ice Cream Classic,Frozen Foods,3,Quality Issue,26.65
RET-000050,2025-04-04,INV-0003047,Boston Flagship,PRD-0066,OptimaFood Cheese Lite,Dairy,4,Quality Issue,66.9
RET-000051,2025-04-06,INV-0025808,Denver Standard,PRD-0113,SunRise Frozen Meals Plus,Frozen Foods,1,Customer Return,10.21
RET-000052,2026-09-09,INV-0043829,Columbus Standard,PRD-0028,BluePeak Water & Sparkling Deluxe,Beverages,2,Expired,3.79
RET-000053,2025-12-19,INV-0011007,Atlanta Flagship,PRD-0074,BluePeak Yogurt Deluxe,Dairy,6,Incorrect Shipment,28.38
RET-000054,2026-12-31,INV-0029032,Philadelphia Standard,PRD-0022,ElitePro Juices Lite,Beverages,1,Quality Issue,3.72
RET-000055,2025-03-18,INV-0017314,Chicago Flagship,PRD-0065,NaturePath Cheese Classic,Dairy,1,Damaged,6.06
RET-000056,2024-12-10,INV-0025053,Denver Standard,PRD-0086,BluePeak Canned Goods Select 1000g,Grocery,1,Damaged,1.44
RET-000057,2025-12-14,INV-0059831,Providence Express,PRD-0067,EverGreen Cheese Classic,Dairy,4,Damaged,58.2
RET-000058,2026-05-05,INV-0035488,Philadelphia Standard,PRD-0158,ElitePro Cleaning Products Deluxe,Household,3,Quality Issue,15.21
RET-000059,2026-04-25,INV-0011255,Atlanta Flagship,PRD-0078,ValuBrand Yogurt Classic,Dairy,8,Expired,34.35
